sample_index,timestamp,green,green_status,red,red_status,infrared,infrared_status
284,1785929341614,-87344,0,5875610,0,7441058,0
285,1785929341623,-87529,0,5875347,0,7440765,0
286,1785929341634,-87604,0,5875227,0,7440454,0
287,1785929341644,-87313,0,5875012,0,7440279,0
288,1785929341654,-87233,0,5874923,0,7440268,0
289,1785929341664,-86770,0,5874868,0,7440138,0
290,1785929341674,-86455,0,5874700,0,7440061,0
291,1785929341684,-86069,0,5874485,0,7440103,0
292,1785929341695,-85540,0,5874483,0,7439949,0
293,1785929341704,-85124,0,5874332,0,7439701,0
294,1785929341717,-84383,0,5874233,0,7439702,0
295,1785929341724,-83874,0,5874008,0,7439944,0
296,1785929341734,-83171,0,5873932,0,7439812,0
297,1785929341743,-82458,0,5873892,0,7439744,0
298,1785929341755,-81914,0,5873839,0,7439641,0
299,1785929341764,-81163,0,5873705,0,7439733,0
300,1785929341774,-80389,0,5873522,0,7439652,0
301,1785929341784,-79579,0,5873169,0,7439676,0
302,1785929341794,-78881,0,5873170,0,7439512,0
303,1785929341804,-78132,0,5873010,0,7439219,0
304,1785929341818,-77510,0,5872878,0,7439237,0
305,1785929341824,-76624,0,5872814,0,7439123,0
306,1785929341834,-76066,0,5872560,0,7439103,0
307,1785929341844,-75216,0,5872273,0,7439042,0
308,1785929341855,-74674,0,5871976,0,7438878,0
309,1785929341864,-73927,0,5871847,0,7438406,0
310,1785929341877,-73180,0,5871724,0,7438153,0
311,1785929341884,-72328,0,5871630,0,7438194,0
312,1785929341894,-71441,0,5871504,0,7438195,0
313,1785929341904,-70715,0,5871198,0,7438339,0
314,1785929341914,-70410,0,5871154,0,7438571,0
315,1785929341924,-70194,0,5870839,0,7439085,0
316,1785929341935,-70044,0,5870588,0,7439456,0
317,1785929341944,-70294,0,5870387,0,7439596,0
318,1785929341955,-70302,0,5870012,0,7439442,0
319,1785929341964,-70663,0,5869751,0,7439458,0
320,1785929341974,-70759,0,5869589,0,7439675,0
321,1785929341984,-71071,0,5869533,0,7440030,0
322,1785929341995,-71394,0,5869341,0,7440252,0
323,1785929342004,-71581,0,5869374,0,7440608,0
324,1785929342015,-71911,0,5869284,0,7440656,0
325,1785929342024,-71988,0,5869253,0,7440750,0
326,1785929342037,-72046,0,5869098,0,7440715,0
327,1785929342046,-71957,0,5869135,0,7440758,0
328,1785929342055,-72081,0,5869125,0,7440694,0
329,1785929342071,-71854,0,5869085,0,7440890,0
330,1785929342075,-71436,0,5869025,0,7441018,0
331,1785929342085,-71091,0,5868812,0,7440681,0
332,1785929342099,-70818,0,5868717,0,7440529,0
333,1785929342104,-70579,0,5868636,0,7440732,0
334,1785929342115,-70341,0,5868410,0,7440475,0
335,1785929342125,-70050,0,5868218,0,7440324,0
336,1785929342135,-70398,0,5867549,0,7439668,0
337,1785929342145,-71148,0,5867060,0,7438817,0
338,1785929342156,-73917,0,5866195,0,7437860,0
339,1785929342165,-78130,0,5864996,0,7436666,0
340,1785929342176,-83855,0,5863812,0,7435389,0
341,1785929342185,-90520,0,5862649,0,7434035,0
342,1785929342198,-98303,0,5861205,0,7432491,0
343,1785929342205,-106863,0,5859679,0,7430391,0
344,1785929342215,-115702,0,5858233,0,7428685,0
345,1785929342225,-125049,0,5856460,0,7426718,0
346,1785929342235,-134138,0,5854461,0,7424900,0
347,1785929342245,-143395,0,5851973,0,7422424,0
348,1785929342255,-152431,0,5849151,0,7419625,0
349,1785929342265,-161855,0,5845808,0,7416455,0
350,1785929342275,-171183,0,5841641,0,7412668,0
351,1785929342285,-180717,0,5836335,0,7407412,0
352,1785929342296,-190671,0,5830225,0,7400607,0
353,1785929342305,-199863,0,5824843,0,7393868,0
354,1785929342316,-208507,0,5819710,0,7388058,0
355,1785929342325,-217009,0,5814110,0,7381483,0
356,1785929342336,-225305,0,5808933,0,7374881,0
357,1785929342346,-233140,0,5803902,0,7368686,0
358,1785929342358,-240799,0,5800009,0,7363741,0
359,1785929342365,-247822,0,5796496,0,7359713,0
360,1785929342375,-254381,0,5793355,0,7356147,0
361,1785929342385,-260695,0,5790129,0,7352097,0
362,1785929342396,-266616,0,5787410,0,7348779,0
363,1785929342405,-272120,0,5785369,0,7346360,0
364,1785929342416,-277380,0,5783108,0,7344366,0
365,1785929342425,-282384,0,5781318,0,7342346,0
366,1785929342436,-287300,0,5780574,0,7341425,0
367,1785929342448,-291921,0,5779863,0,7341425,0
368,1785929342456,-296501,0,5779108,0,7341083,0
369,1785929342465,-300931,0,5778445,0,7341081,0
370,1785929342476,-305636,0,5777344,0,7341055,0
371,1785929342485,-310224,0,5776053,0,7339866,0
372,1785929342497,-315038,0,5774904,0,7338932,0
373,1785929342505,-319463,0,5774310,0,7338808,0
374,1785929342518,-323653,0,5773727,0,7338875,0
375,1785929342526,-327832,0,5773176,0,7338547,0
376,1785929342536,-332038,0,5772539,0,7338662,0
377,1785929342546,-336004,0,5771468,0,7337902,0
378,1785929342556,-339929,0,5770481,0,7336682,0
379,1785929342566,-343649,0,5769687,0,7335605,0
380,1785929342576,-347182,0,5769316,0,7335020,0
381,1785929342585,-350456,0,5768942,0,7334680,0
382,1785929342596,-353702,0,5768809,0,7334631,0
383,1785929342606,-356682,0,5768667,0,7334590,0
384,1785929342616,-359301,0,5768485,0,7334483,0
385,1785929342625,-361793,0,5768453,0,7334096,0
386,1785929342636,-364022,0,5768747,0,7334355,0
387,1785929342646,-365986,0,5768834,0,7334788,0
